company,ticker,fiscal_year,cost_of_revenue,gross_profit,marketing_expenses,net_income,operating_income,research_development,revenue,total_assets,total_liabilities
Alphabet Inc.,GOOGL,2024.0,,,27917000000.0,100118000000.0,121263000000.0,49326000000.0,350018000000.0,450256000000.0,450256000000.0
Amazon.com Inc.,AMZN,2024.0,,,44370000000.0,59248000000.0,68593000000.0,,637959000000.0,624894000000.0,624894000000.0
Apple Inc.,AAPL,2015.0,,93626000000.0,1800000000.0,53394000000.0,83850000000.0,8067000000.0,233715000000.0,290479000000.0,290479000000.0
Apple Inc.,AAPL,2016.0,,93626000000.0,,53394000000.0,71230000000.0,10045000000.0,233715000000.0,321686000000.0,321686000000.0
Apple Inc.,AAPL,2017.0,,93626000000.0,,53394000000.0,71230000000.0,11581000000.0,233715000000.0,375319000000.0,375319000000.0
Apple Inc.,AAPL,2024.0,,180683000000.0,,99803000000.0,162044000000.0,31370000000.0,394328000000.0,364980000000.0,364980000000.0
Meta Platforms Inc.,META,2024.0,,,15262000000.0,62360000000.0,87109000000.0,43873000000.0,164501000000.0,276054000000.0,276054000000.0
Microsoft Corporation,MSFT,2025.0,,193893000000.0,25654000000.0,101832000000.0,128528000000.0,32488000000.0,375000000000.0,619003000000.0,619003000000.0
NVIDIA Corporation,NVDA,2025.0,,97858000000.0,,72880000000.0,82875000000.0,12914000000.0,130497000000.0,111601000000.0,111601000000.0
Tesla Inc.,TSLA,2024.0,427000000.0,20853000000.0,,15070000000.0,13656000000.0,4540000000.0,97690000000.0,122070000000.0,122070000000.0
